"District","FIPS","Year","Variable","Measure Type","Value"
"Achievement First Hartford Academy District","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2014-2015","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2014-2015","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2015-2016","Total Cohort Count","Number","35"
"Achievement First Hartford Academy District","","2015-2016","Four Year Graduation Count","Number","-9999"
"Achievement First Hartford Academy District","","2015-2016","Four Year Graduation Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Hartford Academy District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2015-2016","Other Count","Number","0"
"Achievement First Hartford Academy District","","2015-2016","Other Rate","Percent","0.0"
"Achievement First Hartford Academy District","","2016-2017","Total Cohort Count","Number","31"
"Achievement First Hartford Academy District","","2016-2017","Four Year Graduation Count","Number","28"
"Achievement First Hartford Academy District","","2016-2017","Four Year Graduation Rate","Percent","90.3"
"Achievement First Hartford Academy District","","2016-2017","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Hartford Academy District","","2016-2017","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2016-2017","Other Count","Number","-9999"
"Achievement First Hartford Academy District","","2016-2017","Other Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2017-2018","Total Cohort Count","Number","35"
"Achievement First Hartford Academy District","","2017-2018","Four Year Graduation Count","Number","31"
"Achievement First Hartford Academy District","","2017-2018","Four Year Graduation Rate","Percent","88.6"
"Achievement First Hartford Academy District","","2017-2018","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Hartford Academy District","","2017-2018","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2017-2018","Other Count","Number","-9999"
"Achievement First Hartford Academy District","","2017-2018","Other Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2018-2019","Total Cohort Count","Number","32"
"Achievement First Hartford Academy District","","2018-2019","Four Year Graduation Count","Number","31"
"Achievement First Hartford Academy District","","2018-2019","Four Year Graduation Rate","Percent","96.9"
"Achievement First Hartford Academy District","","2018-2019","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Hartford Academy District","","2018-2019","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2018-2019","Other Count","Number","0"
"Achievement First Hartford Academy District","","2018-2019","Other Rate","Percent","0.0"
"Amistad Academy District","","2010-2011","Total Cohort Count","Number","29"
"Amistad Academy District","","2010-2011","Four Year Graduation Count","Number","17"
"Amistad Academy District","","2010-2011","Four Year Graduation Rate","Percent","58.6"
"Amistad Academy District","","2010-2011","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2010-2011","Other Count","Number","-9999"
"Amistad Academy District","","2010-2011","Other Rate","Percent","-9999"
"Amistad Academy District","","2011-2012","Total Cohort Count","Number","21"
"Amistad Academy District","","2011-2012","Four Year Graduation Count","Number","15"
"Amistad Academy District","","2011-2012","Four Year Graduation Rate","Percent","71.4"
"Amistad Academy District","","2011-2012","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2011-2012","Other Count","Number","-9999"
"Amistad Academy District","","2011-2012","Other Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Total Cohort Count","Number","23"
"Amistad Academy District","","2012-2013","Four Year Graduation Count","Number","16"
"Amistad Academy District","","2012-2013","Four Year Graduation Rate","Percent","69.6"
"Amistad Academy District","","2012-2013","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2012-2013","Other Count","Number","-9999"
"Amistad Academy District","","2012-2013","Other Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Total Cohort Count","Number","23"
"Amistad Academy District","","2013-2014","Four Year Graduation Count","Number","19"
"Amistad Academy District","","2013-2014","Four Year Graduation Rate","Percent","82.6"
"Amistad Academy District","","2013-2014","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2013-2014","Other Count","Number","-9999"
"Amistad Academy District","","2013-2014","Other Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Total Cohort Count","Number","29"
"Amistad Academy District","","2014-2015","Four Year Graduation Count","Number","24"
"Amistad Academy District","","2014-2015","Four Year Graduation Rate","Percent","82.8"
"Amistad Academy District","","2014-2015","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2014-2015","Other Count","Number","-9999"
"Amistad Academy District","","2014-2015","Other Rate","Percent","-9999"
"Amistad Academy District","","2015-2016","Total Cohort Count","Number","30"
"Amistad Academy District","","2015-2016","Four Year Graduation Count","Number","27"
"Amistad Academy District","","2015-2016","Four Year Graduation Rate","Percent","90.0"
"Amistad Academy District","","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2015-2016","Other Count","Number","-9999"
"Amistad Academy District","","2015-2016","Other Rate","Percent","-9999"
"Amistad Academy District","","2016-2017","Total Cohort Count","Number","43"
"Amistad Academy District","","2016-2017","Four Year Graduation Count","Number","35"
"Amistad Academy District","","2016-2017","Four Year Graduation Rate","Percent","81.4"
"Amistad Academy District","","2016-2017","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2016-2017","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2016-2017","Other Count","Number","-9999"
"Amistad Academy District","","2016-2017","Other Rate","Percent","-9999"
"Amistad Academy District","","2017-2018","Total Cohort Count","Number","44"
"Amistad Academy District","","2017-2018","Four Year Graduation Count","Number","42"
"Amistad Academy District","","2017-2018","Four Year Graduation Rate","Percent","95.5"
"Amistad Academy District","","2017-2018","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2017-2018","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2017-2018","Other Count","Number","0"
"Amistad Academy District","","2017-2018","Other Rate","Percent","0.0"
"Amistad Academy District","","2018-2019","Total Cohort Count","Number","53"
"Amistad Academy District","","2018-2019","Four Year Graduation Count","Number","43"
"Amistad Academy District","","2018-2019","Four Year Graduation Rate","Percent","81.1"
"Amistad Academy District","","2018-2019","Still Enrolled After Four Years Count","Number","-9999"
"Amistad Academy District","","2018-2019","Still Enrolled After Four Years Rate","Percent","-9999"
"Amistad Academy District","","2018-2019","Other Count","Number","-9999"
"Amistad Academy District","","2018-2019","Other Rate","Percent","-9999"
"Andover School District","","2010-2011","Total Cohort Count","Number","-6666"
"Andover School District","","2010-2011","Four Year Graduation Count","Number","-6666"
"Andover School District","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2010-2011","Other Count","Number","-6666"
"Andover School District","","2010-2011","Other Rate","Percent","-6666"
"Andover School District","","2011-2012","Total Cohort Count","Number","-6666"
"Andover School District","","2011-2012","Four Year Graduation Count","Number","-6666"
"Andover School District","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2011-2012","Other Count","Number","-6666"
"Andover School District","","2011-2012","Other Rate","Percent","-6666"
"Andover School District","","2012-2013","Total Cohort Count","Number","-6666"
"Andover School District","","2012-2013","Four Year Graduation Count","Number","-6666"
"Andover School District","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2012-2013","Other Count","Number","-6666"
"Andover School District","","2012-2013","Other Rate","Percent","-6666"
"Andover School District","","2013-2014","Total Cohort Count","Number","-6666"
"Andover School District","","2013-2014","Four Year Graduation Count","Number","-6666"
"Andover School District","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2013-2014","Other Count","Number","-6666"
"Andover School District","","2013-2014","Other Rate","Percent","-6666"
"Andover School District","","2014-2015","Total Cohort Count","Number","-6666"
"Andover School District","","2014-2015","Four Year Graduation Count","Number","-6666"
"Andover School District","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2014-2015","Other Count","Number","-6666"
"Andover School District","","2014-2015","Other Rate","Percent","-6666"
"Andover School District","","2015-2016","Total Cohort Count","Number","-6666"
"Andover School District","","2015-2016","Four Year Graduation Count","Number","-6666"
"Andover School District","","2015-2016","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2015-2016","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2015-2016","Other Count","Number","-6666"
"Andover School District","","2015-2016","Other Rate","Percent","-6666"
"Andover School District","","2016-2017","Total Cohort Count","Number","-6666"
"Andover School District","","2016-2017","Four Year Graduation Count","Number","-6666"
"Andover School District","","2016-2017","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2016-2017","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2016-2017","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2016-2017","Other Count","Number","-6666"
