"District","FIPS","Year","Variable","Measure Type","Value"
"Bristol School District","900308490","2016-2017","Four Year Graduation Count","Number","551"
"Bristol School District","900308490","2016-2017","Four Year Graduation Rate","Percent","87.0"
"Bristol School District","900308490","2016-2017","Still Enrolled After Four Years Count","Number","46"
"Bristol School District","900308490","2016-2017","Still Enrolled After Four Years Rate","Percent","7.3"
"Bristol School District","900308490","2016-2017","Other Count","Number","36"
"Bristol School District","900308490","2016-2017","Other Rate","Percent","5.7"
"Bristol School District","900308490","2017-2018","Total Cohort Count","Number","600"
"Bristol School District","900308490","2017-2018","Four Year Graduation Count","Number","518"
"Bristol School District","900308490","2017-2018","Four Year Graduation Rate","Percent","86.3"
"Bristol School District","900308490","2017-2018","Still Enrolled After Four Years Count","Number","37"
"Bristol School District","900308490","2017-2018","Still Enrolled After Four Years Rate","Percent","6.2"
"Bristol School District","900308490","2017-2018","Other Count","Number","44"
"Bristol School District","900308490","2017-2018","Other Rate","Percent","7.3"
"Bristol School District","900308490","2018-2019","Total Cohort Count","Number","632"
"Bristol School District","900308490","2018-2019","Four Year Graduation Count","Number","545"
"Bristol School District","900308490","2018-2019","Four Year Graduation Rate","Percent","86.2"
"Bristol School District","900308490","2018-2019","Still Enrolled After Four Years Count","Number","43"
"Bristol School District","900308490","2018-2019","Still Enrolled After Four Years Rate","Percent","6.8"
"Bristol School District","900308490","2018-2019","Other Count","Number","44"
"Bristol School District","900308490","2018-2019","Other Rate","Percent","7.0"
"Brookfield School District","900108980","2010-2011","Total Cohort Count","Number","265"
"Brookfield School District","900108980","2010-2011","Four Year Graduation Count","Number","251"
"Brookfield School District","900108980","2010-2011","Four Year Graduation Rate","Percent","94.7"
"Brookfield School District","900108980","2010-2011","Still Enrolled After Four Years Count","Number","6"
"Brookfield School District","900108980","2010-2011","Still Enrolled After Four Years Rate","Percent","2.3"
"Brookfield School District","900108980","2010-2011","Other Count","Number","8"
"Brookfield School District","900108980","2010-2011","Other Rate","Percent","3.0"
"Brookfield School District","900108980","2011-2012","Total Cohort Count","Number","254"
"Brookfield School District","900108980","2011-2012","Four Year Graduation Count","Number","247"
"Brookfield School District","900108980","2011-2012","Four Year Graduation Rate","Percent","97.2"
"Brookfield School District","900108980","2011-2012","Still Enrolled After Four Years Count","Number","-9999"
"Brookfield School District","900108980","2011-2012","Still Enrolled After Four Years Rate","Percent","-9999"
"Brookfield School District","900108980","2011-2012","Other Count","Number","-9999"
"Brookfield School District","900108980","2011-2012","Other Rate","Percent","-9999"
"Brookfield School District","900108980","2012-2013","Total Cohort Count","Number","242"
"Brookfield School District","900108980","2012-2013","Four Year Graduation Count","Number","232"
"Brookfield School District","900108980","2012-2013","Four Year Graduation Rate","Percent","95.9"
"Brookfield School District","900108980","2012-2013","Still Enrolled After Four Years Count","Number","-9999"
"Brookfield School District","900108980","2012-2013","Still Enrolled After Four Years Rate","Percent","-9999"
"Brookfield School District","900108980","2012-2013","Other Count","Number","-9999"
"Brookfield School District","900108980","2012-2013","Other Rate","Percent","-9999"
"Brookfield School District","900108980","2013-2014","Total Cohort Count","Number","232"
"Brookfield School District","900108980","2013-2014","Four Year Graduation Count","Number","225"
"Brookfield School District","900108980","2013-2014","Four Year Graduation Rate","Percent","97.0"
"Brookfield School District","900108980","2013-2014","Still Enrolled After Four Years Count","Number","-9999"
"Brookfield School District","900108980","2013-2014","Still Enrolled After Four Years Rate","Percent","-9999"
"Brookfield School District","900108980","2013-2014","Other Count","Number","-9999"
"Brookfield School District","900108980","2013-2014","Other Rate","Percent","-9999"
"Brookfield School District","900108980","2014-2015","Total Cohort Count","Number","235"
"Brookfield School District","900108980","2014-2015","Four Year Graduation Count","Number","224"
"Brookfield School District","900108980","2014-2015","Four Year Graduation Rate","Percent","95.3"
"Brookfield School District","900108980","2014-2015","Still Enrolled After Four Years Count","Number","-9999"
"Brookfield School District","900108980","2014-2015","Still Enrolled After Four Years Rate","Percent","-9999"
"Brookfield School District","900108980","2014-2015","Other Count","Number","-9999"
"Brookfield School District","900108980","2014-2015","Other Rate","Percent","-9999"
"Brookfield School District","900108980","2015-2016","Total Cohort Count","Number","215"
"Brookfield School District","900108980","2015-2016","Four Year Graduation Count","Number","208"
"Brookfield School District","900108980","2015-2016","Four Year Graduation Rate","Percent","96.7"
"Brookfield School District","900108980","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Brookfield School District","900108980","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Brookfield School District","900108980","2015-2016","Other Count","Number","-9999"
"Brookfield School District","900108980","2015-2016","Other Rate","Percent","-9999"
"Brookfield School District","900108980","2016-2017","Total Cohort Count","Number","229"
"Brookfield School District","900108980","2016-2017","Four Year Graduation Count","Number","220"
"Brookfield School District","900108980","2016-2017","Four Year Graduation Rate","Percent","96.1"
"Brookfield School District","900108980","2016-2017","Still Enrolled After Four Years Count","Number","-9999"
"Brookfield School District","900108980","2016-2017","Still Enrolled After Four Years Rate","Percent","-9999"
"Brookfield School District","900108980","2016-2017","Other Count","Number","-9999"
"Brookfield School District","900108980","2016-2017","Other Rate","Percent","-9999"
"Brookfield School District","900108980","2017-2018","Total Cohort Count","Number","212"
"Brookfield School District","900108980","2017-2018","Four Year Graduation Count","Number","204"
"Brookfield School District","900108980","2017-2018","Four Year Graduation Rate","Percent","96.2"
"Brookfield School District","900108980","2017-2018","Still Enrolled After Four Years Count","Number","-9999"
"Brookfield School District","900108980","2017-2018","Still Enrolled After Four Years Rate","Percent","-9999"
"Brookfield School District","900108980","2017-2018","Other Count","Number","-9999"
"Brookfield School District","900108980","2017-2018","Other Rate","Percent","-9999"
"Brookfield School District","900108980","2018-2019","Total Cohort Count","Number","217"
"Brookfield School District","900108980","2018-2019","Four Year Graduation Count","Number","204"
"Brookfield School District","900108980","2018-2019","Four Year Graduation Rate","Percent","94.0"
"Brookfield School District","900108980","2018-2019","Still Enrolled After Four Years Count","Number","6"
"Brookfield School District","900108980","2018-2019","Still Enrolled After Four Years Rate","Percent","2.8"
"Brookfield School District","900108980","2018-2019","Other Count","Number","7"
"Brookfield School District","900108980","2018-2019","Other Rate","Percent","3.2"
"Brooklyn School District","","2010-2011","Total Cohort Count","Number","-6666"
"Brooklyn School District","","2010-2011","Four Year Graduation Count","Number","-6666"
"Brooklyn School District","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Brooklyn School District","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Brooklyn School District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Brooklyn School District","","2010-2011","Other Count","Number","-6666"
"Brooklyn School District","","2010-2011","Other Rate","Percent","-6666"
"Brooklyn School District","","2011-2012","Total Cohort Count","Number","-6666"
"Brooklyn School District","","2011-2012","Four Year Graduation Count","Number","-6666"
"Brooklyn School District","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Brooklyn School District","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Brooklyn School District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Brooklyn School District","","2011-2012","Other Count","Number","-6666"
"Brooklyn School District","","2011-2012","Other Rate","Percent","-6666"
"Brooklyn School District","","2012-2013","Total Cohort Count","Number","-6666"
"Brooklyn School District","","2012-2013","Four Year Graduation Count","Number","-6666"
"Brooklyn School District","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Brooklyn School District","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Brooklyn School District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Brooklyn School District","","2012-2013","Other Count","Number","-6666"
"Brooklyn School District","","2012-2013","Other Rate","Percent","-6666"
"Brooklyn School District","","2013-2014","Total Cohort Count","Number","-6666"
"Brooklyn School District","","2013-2014","Four Year Graduation Count","Number","-6666"
"Brooklyn School District","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Brooklyn School District","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Brooklyn School District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Brooklyn School District","","2013-2014","Other Count","Number","-6666"
"Brooklyn School District","","2013-2014","Other Rate","Percent","-6666"
"Brooklyn School District","","2014-2015","Total Cohort Count","Number","-6666"
"Brooklyn School District","","2014-2015","Four Year Graduation Count","Number","-6666"
"Brooklyn School District","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Brooklyn School District","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Brooklyn School District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Brooklyn School District","","2014-2015","Other Count","Number","-6666"
"Brooklyn School District","","2014-2015","Other Rate","Percent","-6666"
"Brooklyn School District","","2015-2016","Total Cohort Count","Number","-6666"
"Brooklyn School District","","2015-2016","Four Year Graduation Count","Number","-6666"
"Brooklyn School District","","2015-2016","Four Year Graduation Rate","Percent","-6666"
"Brooklyn School District","","2015-2016","Still Enrolled After Four Years Count","Number","-6666"
"Brooklyn School District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-6666"
"Brooklyn School District","","2015-2016","Other Count","Number","-6666"
"Brooklyn School District","","2015-2016","Other Rate","Percent","-6666"
"Brooklyn School District","","2016-2017","Total Cohort Count","Number","-6666"
"Brooklyn School District","","2016-2017","Four Year Graduation Count","Number","-6666"
"Brooklyn School District","","2016-2017","Four Year Graduation Rate","Percent","-6666"
"Brooklyn School District","","2016-2017","Still Enrolled After Four Years Count","Number","-6666"
"Brooklyn School District","","2016-2017","Still Enrolled After Four Years Rate","Percent","-6666"
"Brooklyn School District","","2016-2017","Other Count","Number","-6666"
"Brooklyn School District","","2016-2017","Other Rate","Percent","-6666"
"Brooklyn School District","","2017-2018","Total Cohort Count","Number","-6666"
"Brooklyn School District","","2017-2018","Four Year Graduation Count","Number","-6666"
"Brooklyn School District","","2017-2018","Four Year Graduation Rate","Percent","-6666"
"Brooklyn School District","","2017-2018","Still Enrolled After Four Years Count","Number","-6666"
"Brooklyn School District","","2017-2018","Still Enrolled After Four Years Rate","Percent","-6666"
"Brooklyn School District","","2017-2018","Other Count","Number","-6666"
"Brooklyn School District","","2017-2018","Other Rate","Percent","-6666"
"Brooklyn School District","","2018-2019","Total Cohort Count","Number","-6666"
"Brooklyn School District","","2018-2019","Four Year Graduation Count","Number","-6666"
"Brooklyn School District","","2018-2019","Four Year Graduation Rate","Percent","-6666"
"Brooklyn School District","","2018-2019","Still Enrolled After Four Years Count","Number","-6666"
"Brooklyn School District","","2018-2019","Still Enrolled After Four Years Rate","Percent","-6666"
"Brooklyn School District","","2018-2019","Other Count","Number","-6666"
"Brooklyn School District","","2018-2019","Other Rate","Percent","-6666"
"Canaan School District","","2010-2011","Total Cohort Count","Number","-6666"
"Canaan School District","","2010-2011","Four Year Graduation Count","Number","-6666"
"Canaan School District","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Canaan School District","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Canaan School District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Canaan School District","","2010-2011","Other Count","Number","-6666"
"Canaan School District","","2010-2011","Other Rate","Percent","-6666"
"Canaan School District","","2011-2012","Total Cohort Count","Number","-6666"
"Canaan School District","","2011-2012","Four Year Graduation Count","Number","-6666"
"Canaan School District","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Canaan School District","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Canaan School District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Canaan School District","","2011-2012","Other Count","Number","-6666"
"Canaan School District","","2011-2012","Other Rate","Percent","-6666"
"Canaan School District","","2012-2013","Total Cohort Count","Number","-6666"
"Canaan School District","","2012-2013","Four Year Graduation Count","Number","-6666"
"Canaan School District","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Canaan School District","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Canaan School District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Canaan School District","","2012-2013","Other Count","Number","-6666"
"Canaan School District","","2012-2013","Other Rate","Percent","-6666"
"Canaan School District","","2013-2014","Total Cohort Count","Number","-6666"
"Canaan School District","","2013-2014","Four Year Graduation Count","Number","-6666"
"Canaan School District","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Canaan School District","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Canaan School District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Canaan School District","","2013-2014","Other Count","Number","-6666"
"Canaan School District","","2013-2014","Other Rate","Percent","-6666"
"Canaan School District","","2014-2015","Total Cohort Count","Number","-6666"
"Canaan School District","","2014-2015","Four Year Graduation Count","Number","-6666"
"Canaan School District","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Canaan School District","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Canaan School District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Canaan School District","","2014-2015","Other Count","Number","-6666"
"Canaan School District","","2014-2015","Other Rate","Percent","-6666"
"Canaan School District","","2015-2016","Total Cohort Count","Number","-6666"
"Canaan School District","","2015-2016","Four Year Graduation Count","Number","-6666"
"Canaan School District","","2015-2016","Four Year Graduation Rate","Percent","-6666"
"Canaan School District","","2015-2016","Still Enrolled After Four Years Count","Number","-6666"
"Canaan School District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-6666"
"Canaan School District","","2015-2016","Other Count","Number","-6666"
"Canaan School District","","2015-2016","Other Rate","Percent","-6666"
"Canaan School District","","2016-2017","Total Cohort Count","Number","-6666"
"Canaan School District","","2016-2017","Four Year Graduation Count","Number","-6666"
"Canaan School District","","2016-2017","Four Year Graduation Rate","Percent","-6666"
"Canaan School District","","2016-2017","Still Enrolled After Four Years Count","Number","-6666"
"Canaan School District","","2016-2017","Still Enrolled After Four Years Rate","Percent","-6666"
"Canaan School District","","2016-2017","Other Count","Number","-6666"
"Canaan School District","","2016-2017","Other Rate","Percent","-6666"
"Canaan School District","","2017-2018","Total Cohort Count","Number","-6666"
"Canaan School District","","2017-2018","Four Year Graduation Count","Number","-6666"
"Canaan School District","","2017-2018","Four Year Graduation Rate","Percent","-6666"
"Canaan School District","","2017-2018","Still Enrolled After Four Years Count","Number","-6666"
"Canaan School District","","2017-2018","Still Enrolled After Four Years Rate","Percent","-6666"
"Canaan School District","","2017-2018","Other Count","Number","-6666"
"Canaan School District","","2017-2018","Other Rate","Percent","-6666"
"Canaan School District","","2018-2019","Total Cohort Count","Number","-6666"
"Canaan School District","","2018-2019","Four Year Graduation Count","Number","-6666"
"Canaan School District","","2018-2019","Four Year Graduation Rate","Percent","-6666"
"Canaan School District","","2018-2019","Still Enrolled After Four Years Count","Number","-6666"
"Canaan School District","","2018-2019","Still Enrolled After Four Years Rate","Percent","-6666"
"Canaan School District","","2018-2019","Other Count","Number","-6666"
"Canaan School District","","2018-2019","Other Rate","Percent","-6666"
"Canterbury School District","","2010-2011","Total Cohort Count","Number","-6666"
"Canterbury School District","","2010-2011","Four Year Graduation Count","Number","-6666"
"Canterbury School District","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Canterbury School District","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Canterbury School District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Canterbury School District","","2010-2011","Other Count","Number","-6666"
"Canterbury School District","","2010-2011","Other Rate","Percent","-6666"
"Canterbury School District","","2011-2012","Total Cohort Count","Number","-6666"
"Canterbury School District","","2011-2012","Four Year Graduation Count","Number","-6666"
"Canterbury School District","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Canterbury School District","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Canterbury School District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Canterbury School District","","2011-2012","Other Count","Number","-6666"
"Canterbury School District","","2011-2012","Other Rate","Percent","-6666"
"Canterbury School District","","2012-2013","Total Cohort Count","Number","-6666"
"Canterbury School District","","2012-2013","Four Year Graduation Count","Number","-6666"
"Canterbury School District","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Canterbury School District","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Canterbury School District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Canterbury School District","","2012-2013","Other Count","Number","-6666"
"Canterbury School District","","2012-2013","Other Rate","Percent","-6666"
"Canterbury School District","","2013-2014","Total Cohort Count","Number","-6666"
"Canterbury School District","","2013-2014","Four Year Graduation Count","Number","-6666"
"Canterbury School District","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Canterbury School District","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Canterbury School District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Canterbury School District","","2013-2014","Other Count","Number","-6666"
"Canterbury School District","","2013-2014","Other Rate","Percent","-6666"
"Canterbury School District","","2014-2015","Total Cohort Count","Number","-6666"
"Canterbury School District","","2014-2015","Four Year Graduation Count","Number","-6666"
"Canterbury School District","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Canterbury School District","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Canterbury School District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Canterbury School District","","2014-2015","Other Count","Number","-6666"
"Canterbury School District","","2014-2015","Other Rate","Percent","-6666"
"Canterbury School District","","2015-2016","Total Cohort Count","Number","-6666"
"Canterbury School District","","2015-2016","Four Year Graduation Count","Number","-6666"
"Canterbury School District","","2015-2016","Four Year Graduation Rate","Percent","-6666"
"Canterbury School District","","2015-2016","Still Enrolled After Four Years Count","Number","-6666"
"Canterbury School District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-6666"
"Canterbury School District","","2015-2016","Other Count","Number","-6666"
"Canterbury School District","","2015-2016","Other Rate","Percent","-6666"
"Canterbury School District","","2016-2017","Total Cohort Count","Number","-6666"
"Canterbury School District","","2016-2017","Four Year Graduation Count","Number","-6666"
"Canterbury School District","","2016-2017","Four Year Graduation Rate","Percent","-6666"
"Canterbury School District","","2016-2017","Still Enrolled After Four Years Count","Number","-6666"
"Canterbury School District","","2016-2017","Still Enrolled After Four Years Rate","Percent","-6666"
"Canterbury School District","","2016-2017","Other Count","Number","-6666"
"Canterbury School District","","2016-2017","Other Rate","Percent","-6666"
"Canterbury School District","","2017-2018","Total Cohort Count","Number","-6666"
"Canterbury School District","","2017-2018","Four Year Graduation Count","Number","-6666"
"Canterbury School District","","2017-2018","Four Year Graduation Rate","Percent","-6666"
"Canterbury School District","","2017-2018","Still Enrolled After Four Years Count","Number","-6666"
"Canterbury School District","","2017-2018","Still Enrolled After Four Years Rate","Percent","-6666"
"Canterbury School District","","2017-2018","Other Count","Number","-6666"
"Canterbury School District","","2017-2018","Other Rate","Percent","-6666"
"Canterbury School District","","2018-2019","Total Cohort Count","Number","-6666"
"Canterbury School District","","2018-2019","Four Year Graduation Count","Number","-6666"
"Canterbury School District","","2018-2019","Four Year Graduation Rate","Percent","-6666"
"Canterbury School District","","2018-2019","Still Enrolled After Four Years Count","Number","-6666"
"Canterbury School District","","2018-2019","Still Enrolled After Four Years Rate","Percent","-6666"
"Canterbury School District","","2018-2019","Other Count","Number","-6666"
"Canterbury School District","","2018-2019","Other Rate","Percent","-6666"
"Canton School District","900312270","2010-2011","Total Cohort Count","Number","120"
"Canton School District","900312270","2010-2011","Four Year Graduation Count","Number","113"
"Canton School District","900312270","2010-2011","Four Year Graduation Rate","Percent","94.2"
"Canton School District","900312270","2010-2011","Still Enrolled After Four Years Count","Number","-9999"
"Canton School District","900312270","2010-2011","Still Enrolled After Four Years Rate","Percent","-9999"
"Canton School District","900312270","2010-2011","Other Count","Number","-9999"
"Canton School District","900312270","2010-2011","Other Rate","Percent","-9999"
"Canton School District","900312270","2011-2012","Total Cohort Count","Number","119"
"Canton School District","900312270","2011-2012","Four Year Graduation Count","Number","116"
"Canton School District","900312270","2011-2012","Four Year Graduation Rate","Percent","97.5"
"Canton School District","900312270","2011-2012","Still Enrolled After Four Years Count","Number","-9999"
"Canton School District","900312270","2011-2012","Still Enrolled After Four Years Rate","Percent","-9999"
"Canton School District","900312270","2011-2012","Other Count","Number","-9999"
"Canton School District","900312270","2011-2012","Other Rate","Percent","-9999"
"Canton School District","900312270","2012-2013","Total Cohort Count","Number","124"
"Canton School District","900312270","2012-2013","Four Year Graduation Count","Number","117"
"Canton School District","900312270","2012-2013","Four Year Graduation Rate","Percent","94.4"
"Canton School District","900312270","2012-2013","Still Enrolled After Four Years Count","Number","-9999"
"Canton School District","900312270","2012-2013","Still Enrolled After Four Years Rate","Percent","-9999"
"Canton School District","900312270","2012-2013","Other Count","Number","-9999"
"Canton School District","900312270","2012-2013","Other Rate","Percent","-9999"
"Canton School District","900312270","2013-2014","Total Cohort Count","Number","136"
"Canton School District","900312270","2013-2014","Four Year Graduation Count","Number","128"
"Canton School District","900312270","2013-2014","Four Year Graduation Rate","Percent","94.1"
"Canton School District","900312270","2013-2014","Still Enrolled After Four Years Count","Number","-9999"
"Canton School District","900312270","2013-2014","Still Enrolled After Four Years Rate","Percent","-9999"
"Canton School District","900312270","2013-2014","Other Count","Number","-9999"
"Canton School District","900312270","2013-2014","Other Rate","Percent","-9999"
"Canton School District","900312270","2014-2015","Total Cohort Count","Number","132"
"Canton School District","900312270","2014-2015","Four Year Graduation Count","Number","126"
"Canton School District","900312270","2014-2015","Four Year Graduation Rate","Percent","95.5"
"Canton School District","900312270","2014-2015","Still Enrolled After Four Years Count","Number","-9999"
"Canton School District","900312270","2014-2015","Still Enrolled After Four Years Rate","Percent","-9999"
"Canton School District","900312270","2014-2015","Other Count","Number","-9999"
"Canton School District","900312270","2014-2015","Other Rate","Percent","-9999"
"Canton School District","900312270","2015-2016","Total Cohort Count","Number","106"
"Canton School District","900312270","2015-2016","Four Year Graduation Count","Number","102"
"Canton School District","900312270","2015-2016","Four Year Graduation Rate","Percent","96.2"
"Canton School District","900312270","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Canton School District","900312270","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Canton School District","900312270","2015-2016","Other Count","Number","-9999"
"Canton School District","900312270","2015-2016","Other Rate","Percent","-9999"
"Canton School District","900312270","2016-2017","Total Cohort Count","Number","118"
"Canton School District","900312270","2016-2017","Four Year Graduation Count","Number","113"
"Canton School District","900312270","2016-2017","Four Year Graduation Rate","Percent","95.8"
"Canton School District","900312270","2016-2017","Still Enrolled After Four Years Count","Number","-9999"
"Canton School District","900312270","2016-2017","Still Enrolled After Four Years Rate","Percent","-9999"
"Canton School District","900312270","2016-2017","Other Count","Number","-9999"
"Canton School District","900312270","2016-2017","Other Rate","Percent","-9999"
"Canton School District","900312270","2017-2018","Total Cohort Count","Number","116"
"Canton School District","900312270","2017-2018","Four Year Graduation Count","Number","110"
"Canton School District","900312270","2017-2018","Four Year Graduation Rate","Percent","94.8"
"Canton School District","900312270","2017-2018","Still Enrolled After Four Years Count","Number","-9999"
"Canton School District","900312270","2017-2018","Still Enrolled After Four Years Rate","Percent","-9999"
"Canton School District","900312270","2017-2018","Other Count","Number","-9999"
"Canton School District","900312270","2017-2018","Other Rate","Percent","-9999"
"Canton School District","900312270","2018-2019","Total Cohort Count","Number","124"
"Canton School District","900312270","2018-2019","Four Year Graduation Count","Number","118"
"Canton School District","900312270","2018-2019","Four Year Graduation Rate","Percent","95.2"
"Canton School District","900312270","2018-2019","Still Enrolled After Four Years Count","Number","-9999"
"Canton School District","900312270","2018-2019","Still Enrolled After Four Years Rate","Percent","-9999"
"Canton School District","900312270","2018-2019","Other Count","Number","-9999"
"Canton School District","900312270","2018-2019","Other Rate","Percent","-9999"
"Capital Preparatory Harbor School Inc. District","","2010-2011","Total Cohort Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2010-2011","Four Year Graduation Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2010-2011","Other Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2010-2011","Other Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Total Cohort Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Four Year Graduation Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Other Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2011-2012","Other Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Total Cohort Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Four Year Graduation Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Other Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2012-2013","Other Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Total Cohort Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Four Year Graduation Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Other Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2013-2014","Other Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Total Cohort Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Four Year Graduation Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Other Count","Number","-6666"
"Capital Preparatory Harbor School Inc. District","","2014-2015","Other Rate","Percent","-6666"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Total Cohort Count","Number","8"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Four Year Graduation Count","Number","-9999"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Four Year Graduation Rate","Percent","-9999"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Other Count","Number","0"
"Capital Preparatory Harbor School Inc. District","","2015-2016","Other Rate","Percent","-9999"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Total Cohort Count","Number","16"
"Capital Preparatory Harbor School Inc. District","","2016-2017","Four Year Graduation Count","Number","8"
