Facility Code,District Name,School Name,CAPT School Classification,SPI OVERALL 2013,SPI OVERALL Status,Black SPI OVERALL 2013,Black SPI OVERALL Status,Hispanic SPI OVERALL 2013,Hispanic SPI OVERALL Status,ELL SPI OVERALL 2013,ELL SPI OVERALL Status,FRL SPI OVERALL 2013,FRL SPI OVERALL Status,SWD SPI OVERALL 2013,SWD SPI OVERALL Status,High Needs SPI OVERALL 2013,High Needs SPI OVERALL Status,SPI MATH 2013,SPI MATH Target Status,SPI READ 2013,SPI READ Status,SPI WRITE 2013,SPI WRITE Status,SPI SCIENCE 2013,SPI SCIENCE Status
9001516,Connecticut Technical High School System,A. I. Prince Technical High School,REVIEW,57.1,No,55.6,No,55.1,No,,,55.4,No,48,n/a,55.3,No,48.2,No,56,No,73,No,52.4,No
9001616,Connecticut Technical High School System,Howell Cheney Technical High School,TRANSITIONING,69.5,No,65,Yes,60.4,No,,,64.2,No,,,63,No,69.7,No,64.5,No,71.4,No,72.9,No
9001716,Connecticut Technical High School System,H. C. Wilcox Technical High School,TRANSITIONING,78.7,No,,,77.9,Yes,,,77.4,No,,,76.2,No,77.6,No,74.6,No,83.9,Yes,78.6,No
9001816,Connecticut Technical High School System,Vinal Technical High School,PROGRESSING,72.8,Yes,,n/a,,n/a,,,70.6,Yes,54.2,No,66.5,Yes,73.6,Yes,66.4,Yes,78.2,Yes,73,Yes
9001916,Connecticut Technical High School System,E. C. Goodwin Technical High School,REVIEW,62.5,No,,n/a,61.6,Yes,,,59.3,No,,,58.5,No,61.7,No,53.5,No,68.5,No,66.4,Yes
9002016,Connecticut Technical High School System,Norwich Technical High School,TRANSITIONING,77.8,No,,,75.5,No,,,76.5,No,,,75.6,No,76.7,No,74.8,No,79.2,No,80.8,No
9002216,Connecticut Technical High School System,Oliver Wolcott Technical High School,TRANSITIONING,76.5,No,,,,,,,72.6,Yes,,,68.9,No,77.1,Yes,72.7,Yes,81.6,Yes,74.5,No
9002316,Connecticut Technical High School System,W. F. Kaynor Technical High School,PROGRESSING,83.6,Yes,80.8,Yes,79.8,Yes,,,79.6,Yes,,,79.7,Yes,79.1,Yes,83.5,Yes,93.1,Yes,78.6,Yes
9002416,Connecticut Technical High School System,Windham Technical High School,REVIEW,63.5,No,,,56.3,No,,,61,No,43.8,n/a,58.2,No,61.3,No,56.6,No,66.8,No,69.4,No
9002516,Connecticut Technical High School System,Emmett O'Brien Technical High School,TRANSITIONING,68.3,No,,,67.3,Yes,,,67.7,No,,,64.5,No,63.4,No,63.5,No,79.5,Yes,66.5,No
9002616,Connecticut Technical High School System,Platt Technical High School,TRANSITIONING,78.5,No,71.7,No,76.2,No,,,76.3,No,,,75.2,No,77.1,No,77.6,No,83.1,No,76.1,No
9002716,Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,REVIEW,61.4,No,,n/a,60.7,No,,,60.7,No,43.3,No,58.9,No,58.9,No,56.6,No,67.7,No,66.2,No
9016122,Norwich Free Academy District,Norwich Free Academy,TRANSITIONING,71.1,No,51,No,,n/a,34.6,Yes,52.9,Yes,28.4,No,50.2,Yes,64.6,No,71.5,Yes,78.2,Yes,74.1,No
9026122,The Gilbert School District,The Gilbert School,TRANSITIONING,71.7,No,,,,,,,56,No,,,58.4,No,67.7,Yes,70.1,Yes,81,No,71.1,No
9036122,Woodstock Academy District,Woodstock Academy,PROGRESSING,85.1,Yes,,,,,,,,n/a,,,57.1,Yes,83.5,Yes,81,Yes,90.4,Yes,85.7,Yes
