Facility Code,District Name,School Name,CAPT School Classification,SPI OVERALL 2013,SPI OVERALL Status,Black SPI OVERALL 2013,Black SPI OVERALL Status,Hispanic SPI OVERALL 2013,Hispanic SPI OVERALL Status,ELL SPI OVERALL 2013,ELL SPI OVERALL Status,FRL SPI OVERALL 2013,FRL SPI OVERALL Status,SWD SPI OVERALL 2013,SWD SPI OVERALL Status,High Needs SPI OVERALL 2013,High Needs SPI OVERALL Status,SPI MATH 2013,SPI MATH Target Status,SPI READ 2013,SPI READ Status,SPI WRITE 2013,SPI WRITE Status,SPI SCIENCE 2013,SPI SCIENCE Status
0936411,New Haven School District,Cooperative High School,PROGRESSING,67.9,Yes,60,Yes,62.6,No,,,59.8,No,,,60.8,No,55.8,No,70,Yes,81,Yes,68.2,Yes
1346111,Stafford School District,Stafford High School,TRANSITIONING,83.3,Yes,,,,,,,73.5,Yes,,,71.3,No,80.3,No,83,Yes,93.9,Yes,85,Yes
0936611,New Haven School District,High School In The Community,REVIEW,52.6,Yes,49.3,Yes,46.1,No,,,47.9,Yes,,,48.5,Yes,41.1,No,53,Yes,72.3,Yes,56.8,Yes
0936711,New Haven School District,Sound School,TRANSITIONING,76.7,No,,,,n/a,,,71,No,,,71.2,No,76.6,Yes,68.9,No,83.9,Yes,78.1,No
0936811,New Haven School District,Hyde Leadership School,REVIEW,45.9,No,48.6,No,,,,,42.2,No,,,41.2,No,34.9,No,38.3,No,70.4,No,49,No
0937011,New Haven School District,New Haven Academy,REVIEW,53.8,No,42.4,No,,,,,49.2,No,,,48.4,No,53,No,49.8,No,70.4,No,45.3,No
0946111,Newington School District,Newington High School,TRANSITIONING,81,No,70.7,n/a,67.2,No,,,70.5,No,44.5,No,64.3,No,76.2,No,81.4,No,88.9,Yes,81.4,No
0956111,New London School District,New London High School,TURNAROUND,52.3,Yes,49.9,Yes,48.1,Yes,24.6,No,47.8,No,31.2,Yes,47.9,No,48.9,Yes,50.3,Yes,59.7,Yes,51.7,No
0966111,New Milford School District,New Milford High School,TRANSITIONING,81.7,No,,,64.8,No,,,68,No,42,No,58.7,No,79.7,No,78.5,No,86.6,No,85.4,Yes
0976111,Newtown School District,Newtown High School,EXCELLING,88.3,Yes,,,81.7,No,,,81.3,Yes,47.5,No,65.1,No,88.2,Yes,86.4,No,92,Yes,90,Yes
0996111,North Branford School District,North Branford High School,TRANSITIONING,85.9,Yes,,,,,,,70,No,65.8,Yes,70.7,Yes,82.9,Yes,85.7,Yes,91.5,Yes,83.9,No
1016111,North Haven School District,North Haven High School,TRANSITIONING,81.4,No,66.7,n/a,,n/a,,,64.1,No,45.2,No,58.6,No,74.6,No,81.1,No,91.2,Yes,81.3,No
1026111,North Stonington School District,Wheeler High School,TRANSITIONING,81.8,Yes,,,,,,,,,,,,,76,No,83.8,Yes,81,No,86.4,Yes
1036111,Norwalk School District,Norwalk High School,TRANSITIONING,68.7,No,50.8,No,62.6,No,24.5,No,53.6,No,25.4,No,50.6,No,67,No,65.2,No,78.1,No,66.9,No
1036211,Norwalk School District,Brien McMahon High School,TRANSITIONING,72.9,Yes,66.3,Yes,63.1,No,33,No,61.2,No,36.2,No,58.8,No,69.8,Yes,71.3,No,80.2,Yes,71.4,Yes
1036311,Norwalk School District,Briggs High School,TRANSITIONING,,n/a,,,,,,,,,,,,n/a,,n/a,,n/a,,n/a,,n/a
1066111,Old Saybrook School District,Old Saybrook Senior High School,PROGRESSING,87.2,Yes,,,,,,,,,,,64.5,No,83.3,Yes,87.7,Yes,91.4,Yes,87.3,Yes
1086011,Oxford School District,Oxford High School,PROGRESSING,91,Yes,,,,,,,,,,,,,88.3,Yes,89.7,Yes,94.6,Yes,91.5,Yes
1096111,Plainfield School District,Plainfield High School,TRANSITIONING,74.7,Yes,,,,,,,63.9,Yes,43.8,Yes,62.9,Yes,69.5,Yes,77.6,Yes,80.5,Yes,77.1,Yes
1106111,Plainville School District,Plainville High School,TRANSITIONING,81.8,Yes,,,73.2,n/a,,,71.6,Yes,53.8,No,67.9,No,80.5,Yes,78.9,Yes,87.8,Yes,84.1,Yes
1116111,Plymouth School District,Terryville High School,TRANSITIONING,76.3,Yes,,,,,,,66,Yes,,,59.3,Yes,73.1,No,75.1,Yes,86.1,Yes,72.4,No
1166111,Putnam School District,Putnam High School,TRANSITIONING,65.5,Yes,,,,,,,54.5,No,,,54.7,No,59.6,Yes,61.4,No,72.7,Yes,77.6,Yes
1186111,Ridgefield School District,Ridgefield High School,PROGRESSING,93.7,Yes,,,,n/a,,,,n/a,67.3,No,71.5,No,93.1,Yes,93,Yes,96.4,Yes,92.4,Yes
1196111,Rocky Hill School District,Rocky Hill High School,TRANSITIONING,87.2,Yes,,,,,,,74.5,Yes,,n/a,69.1,Yes,84.9,Yes,85.9,Yes,93,Yes,87.1,Yes
1246111,Seymour School District,Seymour High School,TRANSITIONING,74,Yes,,,,,,,62.2,Yes,,,57.8,Yes,73.5,Yes,68.7,No,83.4,Yes,73.6,Yes
1266111,Shelton School District,Shelton High School,PROGRESSING,83.3,Yes,,,73.9,Yes,,,74.5,Yes,47.7,Yes,69.1,Yes,81.9,Yes,82,Yes,89.7,Yes,83.5,Yes
1286111,Simsbury School District,Simsbury High School,PROGRESSING,91.5,Yes,76.8,n/a,,,,,71.5,No,71.7,Yes,73.5,No,90.1,Yes,92.5,Yes,95.6,Yes,90.3,Yes
1296111,Somers School District,Somers High School,TRANSITIONING,85.4,No,,,,,,,,,,,,n/a,87.5,Yes,82.1,No,88.2,Yes,85.8,No
1316211,Southington School District,Southington High School,TRANSITIONING,85.9,Yes,,,79,Yes,,,72.9,Yes,67.1,Yes,71.3,Yes,87.5,Yes,83.9,Yes,88.2,Yes,85.6,Yes
1326211,South Windsor School District,South Windsor High School,PROGRESSING,88,Yes,78.3,No,69,No,,,72.3,No,60,No,66.8,No,85,No,86.8,No,93.4,Yes,88.7,Yes
2456214,Learn,Three Rivers Middle College Magnet School,TRANSITIONING,,,,,,,,,,,,,,,,,,,,,,
1356111,Stamford School District,Stamford High School,TRANSITIONING,64.1,No,47.5,No,61,Yes,35.6,Yes,56,Yes,38.5,No,55,Yes,61.9,No,62,No,75.2,No,65.3,No
1356311,Stamford School District,Westhill High School,TRANSITIONING,70.6,Yes,52.4,Yes,60.2,Yes,36.9,Yes,55.9,Yes,44.5,No,55.7,Yes,68,Yes,69,No,81.4,Yes,69.5,Yes
1356411,Stamford School District,The Academy of Information Technology,PROGRESSING,81.4,Yes,,n/a,75.4,No,,,72.9,Yes,,,71.8,Yes,81.5,Yes,77.7,Yes,87.4,Yes,78.8,Yes
1376111,Stonington School District,Stonington High School,PROGRESSING,82.6,Yes,,,,,,,72.7,Yes,45.3,No,66.3,Yes,82.8,Yes,79.8,Yes,86.5,No,83.9,Yes
1386111,Stratford School District,Stratford High School,TRANSITIONING,67.2,No,57.8,No,62.1,No,,,61.7,No,43.5,Yes,58.8,No,64,No,63.9,No,76.9,No,64.9,No
1386211,Stratford School District,Bunnell High School,TRANSITIONING,76.8,No,69.5,Yes,69.6,No,,,70,Yes,,n/a,67.7,Yes,75.1,No,74.1,No,85.5,No,73.7,No
1396111,Suffield School District,Suffield High School,PROGRESSING,89.7,Yes,,,,,,,81.1,Yes,,n/a,75.2,Yes,89.6,Yes,89,Yes,92.2,Yes,89.3,Yes
1406211,Thomaston School District,Thomaston High School,PROGRESSING,80.3,Yes,,,,,,,,,,,,n/a,78.9,Yes,72.6,No,88.8,Yes,82.1,Yes
1416111,Thompson School District,Tourtellotte Memorial High School,TRANSITIONING,74.8,Yes,,,,,,,,n/a,,,,n/a,72.4,Yes,74.4,Yes,82.9,Yes,72,No
1426111,Tolland School District,Tolland High School,EXCELLING,89.9,Yes,,,,,,,,,,,75.4,Yes,89.7,Yes,86.6,Yes,92.9,Yes,92.4,Yes
1436111,Torrington School District,Torrington High School,TRANSITIONING,66.4,No,,n/a,49.3,No,,,50.4,No,37.7,No,49.3,No,62.3,No,65.2,No,76.7,No,67.6,No
1446111,Trumbull School District,Trumbull High School,EXCELLING,89.4,Yes,79.9,No,82.4,No,,,87.8,Yes,48.7,No,69.8,No,87.7,Yes,86.1,Yes,94.6,Yes,91.2,Yes
1466111,Vernon School District,Rockville High School,TRANSITIONING,69.1,No,55.4,No,54.6,Yes,,,54.7,No,31.8,No,51.2,No,65.5,No,66,No,74.6,No,72.6,No
1486111,Wallingford School District,Lyman Hall High School,TRANSITIONING,81.6,Yes,,,60.5,No,,,72.3,Yes,60.5,Yes,68.4,Yes,76.9,No,81.7,Yes,88.1,Yes,82.8,Yes
1486211,Wallingford School District,Mark T. Sheehan High School,PROGRESSING,82.6,Yes,,,,n/a,,,74.8,n/a,,n/a,66.6,Yes,78.5,No,84.3,Yes,88.4,Yes,83.4,Yes
1516011,Waterbury School District,Waterbury Arts Magnet School (High),PROGRESSING,72.8,Yes,,n/a,59.9,No,,,65.7,Yes,,,63.6,Yes,64.2,Yes,73.7,Yes,87,Yes,67.3,Yes
1516211,Waterbury School District,Crosby High School,REVIEW,45,No,47.8,Yes,39.3,No,19.7,No,43.4,No,25.6,No,42.7,No,34.1,No,41.3,No,69,No,42,No
1516311,Waterbury School District,Wilby High School,REVIEW,48.4,No,45.7,No,45.1,No,31.4,Yes,47,No,34.2,No,46.4,No,39.6,Yes,49.9,No,68.1,No,41.6,No
1516411,Waterbury School District,John F. Kennedy High School,REVIEW,47.5,No,41.7,No,41.4,No,25,No,41.4,No,18.4,No,40.7,No,38.5,No,50.5,No,68.3,No,38.1,No
1526111,Waterford School District,Waterford High School,PROGRESSING,88.2,Yes,,,,,,,,n/a,66.8,Yes,72.7,Yes,85.7,Yes,90.3,Yes,92.3,Yes,86.5,Yes
1536111,Watertown School District,Watertown High School,PROGRESSING,76.2,Yes,,,,,,,68.5,Yes,39.1,Yes,58.8,Yes,68.2,No,76.4,Yes,87.6,Yes,79.3,Yes
1546111,Westbrook School District,Westbrook High School,PROGRESSING,86.7,Yes,,,,,,,,,,,,,87.2,Yes,85.9,Yes,90.5,Yes,82.7,Yes
1556111,West Hartford School District,Conard High School,TRANSITIONING,82.2,No,71.8,Yes,67.6,No,,,68.6,No,58.3,No,66.2,No,76.8,No,80.9,No,91.2,Yes,83.8,No
1556211,West Hartford School District,Hall High School,TRANSITIONING,86.2,No,71.3,No,78,Yes,,,72.3,No,52.6,No,67.4,No,83.9,No,85.6,No,91.6,Yes,87.6,Yes
1566111,West Haven School District,West Haven High School,REVIEW,61.8,No,55.3,No,57.5,No,,,55.5,No,32.4,No,54.6,No,48.2,No,56.6,No,79,Yes,69.4,Yes
1576111,Weston School District,Weston High School,EXCELLING,94,Yes,,,,,,,,,,,75.9,No,94.4,Yes,91.6,Yes,97.2,Yes,93.7,Yes
1586111,Westport School District,Staples High School,PROGRESSING,93.8,Yes,,,,,,,,,76.4,Yes,80.1,Yes,94.9,Yes,92.6,Yes,96,Yes,92.1,Yes
1596111,Wethersfield School District,Wethersfield High School,TRANSITIONING,79.3,No,,n/a,61.4,No,,,66.8,No,36.9,No,62.1,No,77.8,No,77.5,No,87.9,No,79.5,No
1616111,Wilton School District,Wilton High School,PROGRESSING,93.8,Yes,,,,,,,,,77.5,Yes,79.5,Yes,93.3,Yes,92.7,Yes,96.6,Yes,93.7,Yes
1636111,Windham School District,Windham High School,TURNAROUND,36.6,No,,,25.8,No,11.8,No,28.5,No,11.4,No,26.8,No,29.6,No,33.7,No,44,No,44.8,No
1646111,Windsor School District,Windsor High School,TRANSITIONING,66.8,No,58.5,No,59.1,No,,,50.5,No,42.1,No,48.4,No,65.7,No,62.3,No,76.1,No,66.5,No
1656111,Windsor Locks School District,Windsor Locks High School,TRANSITIONING,71.4,No,,,,,,,57.1,No,,,55.8,No,70.1,No,70.3,No,83.1,No,69.7,No
1666111,Wolcott School District,Wolcott High School,TRANSITIONING,86.1,Yes,,,,,,,73.9,No,,n/a,71.6,No,87.3,Yes,81.4,Yes,90.4,Yes,86.9,Yes
2016112,Regional School District 01,Housatonic Valley Regional High School,TRANSITIONING,78.8,No,,,,,,,70.8,No,,n/a,65.4,No,75,No,75.1,No,91.9,Yes,80.6,No
2046112,Regional School District 04,Valley Regional High School,TRANSITIONING,87.1,No,,,,,,,,,61.7,n/a,63.7,No,83.8,No,86.2,No,90.8,Yes,90.3,Yes
2056112,Regional School District 05,Amity Regional High School,EXCELLING,92,Yes,,,89.9,n/a,,,,,73.5,Yes,73.5,No,90.7,Yes,91.9,Yes,95.3,Yes,90.7,Yes
2066112,Regional School District 06,Wamogo Regional High School,TRANSITIONING,81.6,No,,,,,,,,,,,61.8,No,77.3,No,81.1,No,87.5,No,81.6,Yes
2076112,Regional School District 07,Northwestern Regional High School,EXCELLING,91.6,Yes,,,,,,,,,,n/a,,n/a,89.1,Yes,93.5,Yes,94.8,Yes,89.8,Yes
2086112,Regional School District 08,RHAM High School,PROGRESSING,88.4,Yes,,,,,,,,n/a,60.4,Yes,68.2,Yes,88.4,Yes,88.2,Yes,92.6,Yes,86.8,Yes
2086212,Regional School District 08,Region Alternative High School,TRANSITIONING,,,,,,,,,,,,,,,,,,,,,,
2096112,Regional School District 09,Joel Barlow High School,PROGRESSING,94.2,Yes,,,,,,,,,69.6,No,75.2,No,94.4,Yes,91.9,Yes,97.3,Yes,94.6,Yes
2106112,Regional School District 10,Lewis S. Mills High School,TRANSITIONING,86.4,No,,,,,,,,,,n/a,64.5,Yes,84.7,No,83.9,No,89.2,Yes,87.9,No
2116112,Regional School District 11,Parish Hill High School,PROGRESSING,78.1,Yes,,,,,,,,,,,,,74.8,Yes,72.6,No,88.3,Yes,80.7,Yes
